,qiymət,şəhər,marka,model,rəng,mühərrik_sm³,yanacaq_növü,sürətlər_qutusu,kuzov_növü,buraxılış_ili,yürüş_km
167,3 300 AZN,İsmayıllı,LADA (VAZ),2106,Mavi,1500,Benzin,Mexaniki,Sedan,1989,853629
168,21 500 AZN,Bakı,Hyundai,Veloster,Ağ,1600,Benzin,Avtomat,Hetçbek,2013,172000
169,10 700 AZN,Bakı,Volkswagen,Jetta,Ağ,1600,Benzin,Avtomat,Sedan,2007,244125
170,20 000 AZN,Zaqatala,Hyundai,Sonata,Qara,2000,Benzin,Avtomat,Sedan,2008,168000
171,6 500 AZN,Bakı,Moskvich,412,Narıncı,1400,Benzin,Mexaniki,Sedan,1978,255000
172,3 000 AZN,Lənkəran,LADA (VAZ),2105,Qırmızı,1300,Benzin,Mexaniki,Sedan,1983,60000
173,11 000 AZN,Gəncə,Mercedes,Vito,Qara,1500,Dizel,Mexaniki,Miniven,2001,180000
174,8 500 AZN,Bakı,Nissan,Altima,Yaş Asfalt,250,Benzin,Avtomat,Sedan,2005,298523
175,12 800 AZN,Ağdam,Mercedes,E 200,Gümüşü,2000,Benzin,Avtomat,Sedan,1998,261328
176,4 300 AZN,Bakı,Khazar,D5,Ağ,1700,Benzin,Mexaniki,Sedan,2021,50
177,13 800 AZN,Bakı,Opel,Astra,Göy,1600,Benzin,Mexaniki,Hetçbek,2000,370000
178,12 300 AZN,Bakı,Mercedes,230 CE,Gümüşü,2300,Benzin,Avtomat,Sedan,1997,270000
179,4 000 AZN,Bakı,Ford,Scorpio,Ağ,2400,Benzin,Mexaniki,Hetçbek,1986,212455
180,19 000 AZN,Bakı,Toyota,Prius,Yaş Asfalt,1500,Hibrid,Avtomat,Hetçbek,2009,223000
181,45 000 AZN,Bakı,Toyota,RAV 4,Yaş Asfalt,2000,Benzin,Avtomat,Offroader/SUV,2019,79000
182,8 400 AZN,Şamaxı,LADA (VAZ),Niva,Ağ,1700,Benzin,Mexaniki,Universal,2011,138000
183,3 800 AZN,Sumqayıt,Tofas,Sahin,Ağ,1600,Benzin,Mexaniki,Sedan,2004,325000
184,6 000 AZN,Bakı,Nissan,Sentra,Boz,1800,Benzin,Avtomat,Sedan,2018,60000
185,5 700 AZN,Bakı,Opel,Omega,Gümüşü,2200,Benzin,Avtomat,Sedan,2000,245000
186,4 800 AZN,Bakı,Nissan,Sentra,Gümüşü,1800,Benzin,Avtomat,Sedan,2014,79000
187,7 300 AZN,Bakı,LADA (VAZ),2107,Ağ,1700,Benzin,Mexaniki,Sedan,2011,104000
188,1 700 AZN,Bakı,Volkswagen,Polo,Göy,1600,Benzin,Mexaniki,Sedan,1997,357000
189,3 500 AZN,Bakı,Toyota,Corolla,Ağ,1500,Benzin,Avtomat,Sedan,1995,250000
190,37 000 AZN,Bakı,Jaguar,XF,Ağ,3000,Benzin,Avtomat,Sedan,2011,170000
191,13 800 AZN,Bakı,Toyota,Corolla,Göy,1400,Dizel,Mexaniki,Universal,2005,258000
192,5 400 AZN,Bakı,Nissan,Maxima,Yaşıl,3000,Benzin,Avtomat,Sedan,1997,380000
193,17 300 AZN,Yevlax,Mercedes,E 240,Qara,170,Benzin,Avtomat,Sedan,2001,309986
194,4 200 AZN,Bakı,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,1997,157000
195,3 900 AZN,Bakı,LADA (VAZ),2109,Qırmızı,1500,Benzin,Mexaniki,Sedan,1991,320000
196,13 700 AZN,Bakı,Audi,A8,Ağ,4200,Benzin,Avtomat,Sedan,2008,262509
197,9 700 AZN,Sabirabad,Chevrolet,Cruze,Ağ,1600,Benzin,Mexaniki,Sedan,2010,1730812
198,7 500 AZN,Bakı,Mercedes,C 220,Qara,2200,Dizel,Avtomat,Sedan,1993,200000
199,2 700 AZN,Bakı,Daewoo,Tico,Qırmızı,800,Benzin,Mexaniki,Hetçbek,1996,279000
200,8 000 AZN,Bakı,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2004,77759
201,3 700 AZN,Xırdalan,Daewoo,Espero,Yaşıl,180,Benzin,Mexaniki,Sedan,1995,310000
202,1 450 AZN,Salyan,LADA (VAZ),2106,Qırmızı,1600,Benzin,Mexaniki,Sedan,1984,85698
203,25 500 AZN,Lənkəran,Mercedes,E 220,Qara,2200,Dizel,Avtomat,Sedan,2006,250000
204,4 300 AZN,Bakı,LADA (VAZ),2106,Ağ,1600,Benzin,Mexaniki,Sedan,1997,20000
205,8 000 AZN,Bakı,Ford,Fusion,Qara,1400,Benzin,Robotlaşdırılmış,Hetçbek,2008,250000
206,15 400 AZN,Bakı,Chevrolet,Cruze,Qəhvəyi,1400,Benzin,Avtomat,Sedan,2013,224000
207,11 800 AZN,Masallı,Mercedes,C 230,Qara,2300,Benzin,Avtomat,Sedan,1999,250000
208,7 800 AZN,Bakı,Renault,Megane,Gümüşü,1500,Dizel,Mexaniki,Universal,2005,380000
209,45 000 AZN,Bakı,Toyota,4-Runner,Qəhvəyi,1500,Benzin,Avtomat,Offroader/SUV,2022,0
210,7 300 AZN,Bakı,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2011,90111
211,6 300 AZN,Bakı,LADA (VAZ),2115,Ağ,1600,Benzin,Mexaniki,Sedan,2011,388000
212,5 500 AZN,Bakı,Saipa,132,Ağ,1200,Benzin,Mexaniki,Sedan,2014,200000
213,14 000 AZN,Bakı,Toyota,Prius,Qara,1400,Hibrid,Avtomat,Sedan,2006,400000
214,13 000 AZN,Bakı,Toyota,Prius,Mavi,1500,Benzin,Variator,Hetçbek,2007,247000
215,5 400 AZN,Bakı,Iran Khodro,Runna,Qara,1600,Benzin,Mexaniki,Sedan,2014,333000
216,5 600 AZN,Ağdaş,Iran Khodro,Azsamand,Qızılı,1800,Benzin,Mexaniki,Sedan,2005,16952
217,7 500 AZN,Gəncə,LADA (VAZ),2107,Göy,1600,Benzin,Mexaniki,Sedan,2011,00789
218,3 000 AZN,Sumqayıt,Saipa,111,Göy,1300,Benzin,Mexaniki,Hetçbek,2011,135900
219,6 700 AZN,Bakı,Mercedes,E 200,Ağ,50,Dizel,Mexaniki,Hetçbek,1989,36256
220,4 100 AZN,Bakı,LADA (VAZ),2107,Qırmızı,1500,Benzin,Mexaniki,Sedan,1996,142000
221,14 600 AZN,Balakən,Mercedes,E 240,Ağ,2400,Benzin,Avtomat,Sedan,2000,340000
222,9 300 AZN,Bakı,Opel,Astra,Boz,1600,Benzin,Mexaniki,Sedan,2003,440000
223,6 700 AZN,Sumqayıt,Gaz,2705-Gazel,Qırmızı,2700,Dizel,Mexaniki,Mikroavtobus,1998,70000
224,5 700 AZN,Şəki,ZIL,130,Göy,6000,Benzin,Mexaniki,Universal,1990,150000
225,13 500 AZN,Bakı,Hyundai,Accent,Qara,1500,Dizel,Mexaniki,Sedan,2008,226000
226,3 300 AZN,Bakı,LADA (VAZ),2109,Bej,1500,Benzin,Mexaniki,Sedan,1996,222000
227,6 500 AZN,Lənkəran,LADA (VAZ),2107,Ağ,56,Benzin,Mexaniki,Sedan,2007,23500
228,13 500 AZN,Bakı,Nissan,Tiida,Ağ,1498,Benzin,Avtomat,Hetçbek,2010,99000
229,5 400 AZN,Bakı,Opel,Vectra,Qızılı,2000,Benzin,Avtomat,Hetçbek,1996,355000
230,9 500 AZN,Bakı,Ford,Tourneo Connect,Boz,2000,Dizel,Mexaniki,Universal,2003,230000
231,5 400 AZN,Bakı,LADA (VAZ),2107,Göy,150,Benzin,Mexaniki,Sedan,2000,137000
